"","b","hub","c"
"Solyc02g085190",0.000154337177802703,125,5
"Solyc02g093280",0.00230623201507084,4,3
"Solyc10g079750",0,1,12
"Solyc05g051060",0.000400395352141648,143,5
"Solyc06g065630",0.00591572416033068,158,2
"Solyc06g083860",0.0222014166323515,10,3
"Solyc04g080780",0.00201087098232909,46,2
"Solyc07g064990",0.000479027913329525,7,2
"Solyc07g061730",0,3,2
"Solyc03g082430",0.075969280545504,169,2
"Solyc07g041640",0.0014193015976338,191,2
"Solyc10g083510",0.0038520294801702,218,1
"Solyc08g075950",0.0024968248728077,166,2
"Solyc03g043770",0.0089347161679127,171,1
"Solyc06g074730",0.00090719837089131,154,2
"Solyc07g061720",0,3,2
"Solyc02g092070",0.00590160416024383,224,2
"Solyc10g080880",0.0104438580857598,144,1
"Solyc10g078370",0.00378520012851662,189,2
"Solyc01g091010",0.00317110853358739,219,2
"Solyc02g092050",0.00331906064645471,221,2
"Solyc04g009820",0.00660361225367889,182,2
"Solyc03g114940",0.0221116086748103,15,3
"Solyc11g006230",0.000625383626923552,104,2
"Solyc04g077510",0.00304630583557649,208,2
"Solyc04g081240",0.00371227415196392,218,2
"Solyc04g077490",0.00285327802996652,223,2
"Solyc09g074430",0,1,8
"Solyc12g014500",0.0131097307055358,9,7
"Solyc05g009380",0.00168180512657961,176,2
"Solyc01g058030",0.0169570464218937,6,3
"Solyc06g072480",0.00552363215557942,6,3
"Solyc09g090180",0.00620158758144484,5,3
"Solyc02g069510",0,1,3
"Solyc04g040220",0,1,3
"Solyc09g025280",0.00682168569646463,5,3
"Solyc06g059730",0,1,15
"Solyc07g062840",0.00775164162271912,210,2
"Solyc11g073110",0,1,1
"Solyc12g056450",0.00252828942765531,207,2
"Solyc04g049920",0,1,13
"Solyc10g049740",0,33,2
"Solyc05g046320",0.000572820662608705,16,1
"Solyc04g025930",0.013092866992055,8,1
"Solyc06g069290",0.000978504254589361,103,2
"Solyc10g079590",0.000461191250317663,78,5
"Solyc06g082560",0.00137070777120415,10,4
"Solyc02g050210",0.000776521784307045,86,2
"Solyc05g005600",6.23019490481258e-05,11,4
"Solyc08g076990",0.00028673275632711,113,1
"Solyc05g014730",0.000395594683542765,143,2
"Solyc02g094100",0.00713841645210321,152,1
"Solyc09g098420",0,1,1
"Solyc10g055560",0.0043883648142879,2,4
"Solyc01g105520",0.00131369882767764,138,1
"Solyc07g055100",0.00230623201507084,4,3
"Solyc09g065670",0.000474151861168404,3,1
"Solyc01g108170",0.0043883648142879,2,3
"Solyc10g080070",0.000103054793381625,73,2
"Solyc03g113450",0.00355499257723994,224,1
"Solyc07g042000",0.00010964338576808,106,2
"Solyc03g007970",0.00149326458227308,122,2
"Solyc08g014330",0,1,1
"Solyc07g066180",0.00795064802201236,111,5
"Solyc12g009050",0.00267379271167364,15,3
"Solyc03g006800",8.84648757178891e-05,118,2
"Solyc03g059190",0.000593471588733901,76,1
"Solyc09g091400",0.000205140662278278,140,5
"Solyc08g079060",5.47775616915729e-05,9,4
"Solyc01g080910",0.000228970175323501,13,4
"Solyc08g042030",0.000549020355302623,70,2
"Solyc03g006590",0.00206300070180736,130,1
"Solyc02g069840",0.000711807972965736,149,1
"Solyc09g061280",7.61835212724939e-05,76,5
"Solyc07g065920",0.0103667118445735,8,3
"Solyc12g006860",4.37742126113507e-05,2,6
"Solyc11g010340",0.0043883648142879,2,3
"Solyc12g014110",0.00132587202972775,163,5
"Solyc02g069390",0.00024314010178668,109,5
"Solyc09g005880",0.000830531305823973,168,1
"Solyc01g111610",0.000924940926962944,93,5
"Solyc07g007920",3.80182255680997e-05,25,1
"Solyc01g088380",0.000323193649792396,52,1
"Solyc04g008480",0.0024867534012879,163,2
"Solyc04g080970",0.000114833510077926,96,2
"Solyc12g019560",0.000242209363962141,37,2
"Solyc03g031620",0.00202875924595087,176,1
"Solyc02g067440",0,2,1
"Solyc08g078890",0.00861144530662441,13,3
"Solyc11g012130",0.000812175807559805,113,1
"Solyc12g014430",0.00115981995840726,113,2
"Solyc01g091000",0.00186643529613604,182,2
"Solyc07g062100",0,1,9
"Solyc01g105450",0,1,4
"Solyc11g032050",0.0153873172425418,6,1
"Solyc01g066610",0.00035467968954302,71,1
"Solyc02g067580",0.000128453622975802,111,2
"Solyc05g010010",0.00104918738369034,157,1
"Solyc11g027790",0.0043883648142879,2,1
"Solyc09g090400",0.00169587794705175,101,1
"Solyc04g017650",0.000599253886251029,38,1
"Solyc03g007800",0.00130168993870625,102,1
"Solyc08g083270",0.000221470155508817,141,2
"Solyc04g078770",0.00111128864582089,176,2
"Solyc03g121850",9.02287128517915e-05,123,2
"Solyc04g011540",0.000190691308986853,12,1
"Solyc02g077840",0.0299671647508824,17,3
"Solyc05g051460",0,1,3
"Solyc02g068510",0.00185972519291936,163,2
"Solyc12g013820",0.000524690640301205,7,1
"Solyc01g098240",0.00375284832850173,16,3
"Solyc10g054910",9.22810138902738e-05,2,3
"Solyc10g007830",0.0138078735016129,11,3
"Solyc10g047540",0.00083182967969277,79,1
"Solyc11g073200",0.000577726634539503,4,1
"Solyc08g078470",0.000655682271376567,161,2
"Solyc09g092320",0.000894212841049122,40,1
"Solyc06g066750",0.000516445554674831,69,1
"Solyc05g006160",0,1,5
"Solyc03g112590",6.3837393391553e-06,4,4
"Solyc01g096280",0,1,3
"Solyc01g087140",0.00148417407931169,200,2
"Solyc01g098190",0,1,3
"Solyc04g051280",0.000821848959605012,101,2
"Solyc02g090220",0.0107442818737957,209,2
"Solyc00g009090",0.000477917819385219,167,2
"Solyc02g067680",0.00124517427049431,16,1
"Solyc06g060320",0.00170760778534491,171,1
"Solyc06g048450",0.000770662949841055,108,2
"Solyc06g074390",0.00117622519381457,159,2
"Solyc01g009770",0.00690784556058896,75,1
"Solyc03g098710",0.000131192680401628,5,4
"Solyc09g091370",0.000142619578236949,43,1
"Solyc10g078700",0.025794965708029,190,4
"Solyc12g044920",0.0129655214561809,56,3
"Solyc03g113910",0.0044631337125384,33,1
"Solyc01g098320",0.00305120485393685,182,5
"Solyc02g092820",0.00124823165223797,195,2
"Solyc01g007200",0.00129182274550402,194,2
"Solyc08g080720",0.00445921354998005,33,1
"Solyc02g065290",0.00773597332855493,186,2
"Solyc12g005310",0,1,3
"Solyc02g087740",0.00217805929211969,161,2
"Solyc10g051140",0.00290015542473553,185,2
"Solyc01g086690",0.000109048974131315,35,1
"Solyc04g076860",0.000690070226727893,153,2
"Solyc06g060270",0.00154302984148333,192,2
"Solyc02g084370",0.00221613895211155,202,5
"Solyc02g070620",0.00111920066577383,183,5
"Solyc04g014260",0.00311031665922485,135,1
"Solyc00g187050",0,1,14
"Solyc08g080470",0.00171117261072054,154,5
"Solyc10g055260",0,3,7
"Solyc08g080960",0.00242669680132975,208,2
"Solyc12g010020",0,1,14
"Solyc05g054040",0.00411864915164551,158,1
"Solyc11g066160",0.000257214174351778,21,1
"Solyc02g090310",0.00131059534562322,192,1
"Solyc03g006040",0.000986955599801093,186,2
"Solyc03g007230",8.52667175921131e-05,88,2
"Solyc01g010150",0.000283559077382517,88,5
"Solyc04g074810",0.00927094897414401,20,3
"Solyc11g009040",0,1,1
"Solyc07g056160",0,1,6
"Solyc12g008420",0.000853812533769232,94,5
"Solyc03g063720",0.0034643482532239,126,1
"Solyc02g083520",0.000155385667487382,58,5
"Solyc08g074680",0.000531783914306902,90,2
"Solyc03g114800",1.85483951743011e-07,4,1
"Solyc10g011940",0.00251453833560777,207,2
"Solyc03g097820",9.75296336105829e-05,33,5
"Solyc11g066950",0.000184203996224167,7,5
"Solyc07g008010",5.52549701497221e-06,23,2
"Solyc03g114850",0.00205364771421915,166,2
"Solyc08g007690",0.0381282415884322,90,1
"Solyc06g051320",8.31403912982476e-07,4,1
"Solyc11g071240",0.000420103127456677,90,5
"Solyc02g021260",0.00123512138306772,7,3
"Solyc12g008410",0.000249405255456616,70,5
"Solyc07g054460",0.00314584046810696,199,1
"Solyc05g013930",0.0209712381726181,44,4
"Solyc06g069230",0.00116377292808991,108,1
"Solyc05g007870",0.00710641575708181,186,5
"Solyc11g021020",0.0373430965027801,9,1
"Solyc02g083610",0.00210700296000452,208,2
"Solyc03g112630",0.00110777552996774,155,5
"Solyc09g092720",0,1,2
"Solyc03g082540",3.36802788497539e-05,2,3
"Solyc02g072140",0.00117739441722103,166,1
"Solyc03g083380",0,1,3
"Solyc06g063340",0.00564770057784558,215,1
"Solyc12g011010",0.0034036195788411,194,1
"Solyc04g006970",0.000262900015940287,125,2
"Solyc01g107340",0.0182216109109413,32,1
"Solyc04g050570",0.00665954029623115,167,2
"Solyc10g009410",0.00223166544419323,152,2
"Solyc08g081710",0.00286572447068013,195,2
"Solyc11g066130",0.00779492707690278,221,2
"Solyc10g076510",0.0043883648142879,5,4
"Solyc03g007690",0.00100994999442336,177,2
"Solyc01g091370",0.00235089037080293,212,2
"Solyc06g007780",0.00317382572647068,178,1
"Solyc03g083510",0.00192423747905742,181,2
"Solyc03g005460",0.00144387287499959,115,1
"Solyc09g065240",0.00107878257158396,181,2
"Solyc11g010710",0.00193649218759578,165,5
"Solyc04g077650",0,2,2
"Solyc09g008380",0.00404348197990587,196,1
"Solyc02g093950",0.00187298953440431,186,2
"Solyc06g072520",0,1,6
"Solyc12g014230",0.00246711597841854,200,1
"Solyc01g103250",0.00103814361624283,88,5
"Solyc03g123430",0.00122162167147675,193,2
"Solyc07g006380",0.00267379271167364,15,3
"Solyc02g081070",0.00123825949662632,176,5
"Solyc05g005300",5.47775616915729e-05,9,4
"Solyc08g062940",0.00360413006982056,207,2
"Solyc09g014480",0.00572572547353738,22,2
"Solyc05g014720",0.000269801818515598,134,2
"Solyc10g049890",0.00200591234219035,165,2
"Solyc11g010170",0.00833194975992772,165,2
"Solyc04g011390",0.00219260283790094,142,1
"Solyc08g077990",0.00118972769527469,100,1
"Solyc06g050560",0.00345725193428489,204,2
"Solyc08g042100",0.00271612448092545,184,2
"Solyc08g082630",0.00294046069183362,181,2
"Solyc04g071500",0.00277156868613464,213,5
"Solyc05g015840",0.00186890357953977,160,2
"Solyc01g100030",0.00180075313853646,75,1
"Solyc06g083080",0.00248700489164023,159,1
"Solyc11g020960",0.0247082295733291,112,2
"Solyc10g008320",3.39778757060786e-05,27,1
"Solyc06g068240",0.00502811488350584,187,1
"Solyc06g072700",0.00157004802625926,185,5
"Solyc04g008820",0.000544026335202438,63,1
"Solyc11g068890",0.00252594552042553,168,5
"Solyc07g062310",0.000863538887720193,162,5
"Solyc04g082030",0.00241220602452215,190,1
"Solyc10g074680",0.00151259828980666,199,2
"Solyc03g096890",0.00369382136081068,187,2
"Solyc02g094520",0.00284184119899192,214,2
"Solyc02g085390",0.00485064933215914,223,2
"Solyc02g030460",0.00235221521217524,208,2
"Solyc05g006020",0.00401269795514248,223,2
"Solyc02g050200",0.00108066999630486,112,2
"Solyc06g062330",0,9,3
"Solyc07g007750",0.0222006615153987,14,1
"Solyc06g084430",0.000887377831703477,72,1
"Solyc03g114690",0.00467259494556403,149,1
"Solyc08g065420",0.0141893789538617,157,2
"Solyc07g066350",0.00258942332174418,193,5
"Solyc06g082910",0.00647237245220171,199,5
"Solyc09g089610",0.00107309723631763,174,5
"Solyc04g081080",0.00274228298624531,179,5
"Solyc06g072290",0.00395300968218357,31,2
"Solyc02g093930",0.00305361533746757,13,2
"Solyc09g065590",0.00249535934151526,216,2
"Solyc06g068910",0.00285075531699279,126,5
"Solyc01g014290",0.0119399946603617,34,4
"Solyc03g120870",0.0346611021114124,7,3
