"","genes","logFC.groupP4d","logFC.groupP4p","logFC.groupP5d","logFC.groupP5p","logFC.groupP6d","logFC.groupP6p","logCPM","F","PValue","FDR"
"14197","Solyc08g076220.2.1",1.41685444462657,0.309031012729031,2.52624296973096,0.931234487420246,3.77668943307701,2.40434689096921,10.191574114008,180.483671181864,1.07040712038354e-16,1.37414475597391e-12
"11358","Solyc06g073260.2.1",1.8696279381742,0.404151296380472,3.03750377195219,1.08861633229628,4.34528320307517,2.85839641898725,8.56371822835852,170.111269933482,1.94140502455822e-16,1.37414475597391e-12
"1047","Solyc01g079790.2.1",1.71393426839418,0.498225274425006,2.72595411551655,1.13176524057616,3.83821678406064,2.56520710446517,7.82466783634332,167.097892726255,2.32341445523402e-16,1.37414475597391e-12
"19920","Solyc12g094640.1.1",2.29927850130899,0.603410399707167,3.91027958627173,1.21710107934709,4.86740449925833,3.49261517607719,8.81424899121873,157.315595031025,4.25779866670557e-16,1.88865304358392e-12
"3114","Solyc02g063150.2.1",2.54623021089702,0.570637576399396,3.92554963027525,1.40120359503258,5.04003383598891,3.78035572878234,11.2901474352016,141.290500156246,1.2493019763402e-15,4.43327299324084e-12
"2855","Solyc02g020940.2.1",1.35207096764805,0.18723074656431,2.51670275193282,0.67517966225402,3.32474746987341,2.22351267288969,7.94500275146271,134.64559421029,2.02222169005465e-15,5.98004657443993e-12
"466","Solyc01g009080.2.1",1.14221611489355,-0.0213593672227016,2.36212798028343,0.437654734508565,3.67998131075869,2.33240180524509,6.17002171371219,130.466102988564,2.77066134192968e-15,6.42023096204891e-12
"15120","Solyc09g011810.2.1",1.8638350515823,0.481333565200139,3.07725554757325,1.21547326687768,4.29024264795793,2.86114324533252,8.18225612561193,129.894572868174,2.89476682051464e-15,6.42023096204891e-12
"6173","Solyc03g111610.2.1",1.83178396501536,0.244070255984327,3.34774048722392,1.18061587618687,4.81509498503105,3.23210609111102,7.41847813414324,125.93436515199,3.94229858827647e-15,7.48439821520455e-12
"4125","Solyc02g083810.2.1",1.24657891184452,0.263943388756278,2.33461839960394,0.780028203068359,3.30745742948558,2.1278103606089,9.1268080314823,125.082696091707,4.21822590047036e-15,7.48439821520455e-12
"211","Solyc01g005520.2.1",0.847455015885099,-0.171785817258566,1.88786194933511,0.670003526802726,3.45286333199209,1.90492041629781,7.0190622234029,115.587571206554,9.25703188551596e-15,1.49315924313373e-11
"5633","Solyc03g071590.2.1",2.15113039549767,0.556680386869761,3.04065106897155,1.68542856936005,3.94840312629337,2.79463012009158,6.34894042318348,111.701233615466,1.30036290836458e-14,1.92269492359273e-11
"12245","Solyc07g022900.2.1",1.57119088868854,0.440169099487194,2.24049644001679,0.958681440251858,3.11860913424442,2.28646271684677,7.11092140381563,110.077284966363,1.50387284585539e-14,2.0525550695394e-11
"4283","Solyc02g085950.2.1",2.43997247320901,0.665187631298278,3.83343560472977,1.24461333834947,4.95554717125385,3.82048795810625,11.745389924525,107.487809404647,1.90451352599561e-14,2.2733738620522e-11
"265","Solyc01g006330.2.1",0.951745654794395,0.261572855164366,2.63116894182278,0.811796475959818,4.01075755263616,2.53803871414535,5.53514048060402,107.389248859175,1.92191895005259e-14,2.2733738620522e-11
"6849","Solyc03g120430.2.1",0.958830398979833,0.214506890578385,1.88041641386855,0.421752853247552,2.71832308544545,1.6523148997366,7.02691451445255,105.691886850705,2.25076978186293e-14,2.49596301497463e-11
"1264","Solyc01g087750.2.1",1.98801240459746,0.475509158493241,3.18260877807047,1.51877668502429,4.14024285967059,3.14431135151459,6.71602527485575,104.395405675041,2.54357456185081e-14,2.654743732407e-11
"12488","Solyc07g044860.2.1",0.831484607360265,0.265539619484075,1.69518550849499,0.431485651638498,2.61982109496561,1.49307343612964,10.6117706142586,103.69764050012,2.71827523770742e-14,2.6794643079246e-11
"10467","Solyc06g048410.2.1",1.64458974205956,0.475628324058173,2.30897447834974,1.01723829749094,3.22584369639289,2.43792604495499,7.72049642834088,102.471447674944,3.05805696752731e-14,2.85574235657038e-11
"19747","Solyc12g056830.1.1",1.11242151407347,0.356045826803087,2.47720746065098,1.14333324837176,3.42287614067678,2.27034246747272,8.68707358321026,98.8095846336096,4.38312621904128e-14,3.88849042522247e-11
"16585","Solyc10g044520.1.1",1.00233473541477,0.278208409107069,1.82515029448477,0.346088763263071,3.51956975172201,1.82907817975299,8.56170939881161,97.0262393695661,5.24744386237497e-14,4.43359030714853e-11
"8646","Solyc04g081970.2.1",1.32302922945121,0.0467784617230718,2.54302035551742,1.10217176917699,3.58361179837655,2.3836972471986,7.49334955164824,96.4623803747335,5.55838675122559e-14,4.48283891486343e-11
"14200","Solyc08g076290.2.1",1.85104851393286,0.577902853531384,3.15676836766852,1.32775763506812,4.30124296813797,2.95229367579779,6.8889900629078,93.6639539816915,7.43258976896989e-14,5.7337582726449e-11
"2640","Solyc01g110360.2.1",2.72481793525377,0.0952034719488513,4.22467324814876,1.58784857743631,5.33368678910493,4.15469402562982,9.57122467142818,93.0483387894519,7.93204295733556e-14,5.75914970388136e-11
"4347","Solyc02g086820.2.1",4.00775553856998,-0.177655175526445,6.06449521106953,2.2420992888681,6.92062916904485,5.4150947652305,10.0208254592802,92.8337786666909,8.11467861111615e-14,5.75914970388136e-11
"17454","Solyc10g086580.1.1",2.06715422557588,0.314177887680573,3.23516161959455,0.950911783467273,4.28509616818289,3.04256341895671,10.7507123717214,91.2793029919201,9.58423028213031e-14,6.5404999190707e-11
"1176","Solyc01g081490.2.1",1.27755829256906,0.47115225424131,1.88751918952796,0.743872497268978,2.63644794126158,1.803745323754,6.62008029501419,90.2543719663237,1.07118829563375e-13,7.03231984895788e-11
"14984","Solyc09g009830.2.1",0.179163026146476,0.359496801460848,2.61048447339399,1.63981448795702,4.06510939296222,2.61906039332966,5.17835151889283,89.9307232401852,1.10976134684563e-13,7.03231984895788e-11
"11301","Solyc06g072350.2.1",4.09934158110244,0.215524873809602,3.70320419789613,2.03106476465169,4.80169967774372,3.38997597477909,6.53366633763425,89.3725275329338,1.17991881450832e-13,7.19652013907623e-11
"6782","Solyc03g119540.2.1",3.05075149399822,1.2111441702293,4.4243374823561,2.12538124046351,5.16930689562134,3.92557838900334,6.61122097170847,88.9098696407069,1.24176345610519e-13,7.19652013907623e-11
"19237","Solyc12g013710.1.1",1.35385803806566,0.0669285361362778,2.69836131152091,0.619167584364111,3.47551217084313,2.17705196673444,8.47105022785062,88.7972305552297,1.25735289585393e-13,7.19652013907623e-11
"11185","Solyc06g069730.2.1",0.952151585502288,0.409126550503208,2.26152970984265,0.508807214633977,3.49972731733476,2.05358555638506,8.71387725950464,85.8963543698063,1.74305150408403e-13,9.66467588655093e-11
"6390","Solyc03g114450.2.1",1.13557048062814,0.286240166023631,1.86586430611308,0.711758093448262,3.04817106412271,1.75083979686614,7.85264469051506,84.3993111177452,2.07164368073004e-13,1.11385375233918e-10
"15510","Solyc09g065180.2.1",1.84686684287035,0.564219792474401,3.03810245688181,1.2597403700743,3.61001865477596,2.47937181876457,7.44989139187771,83.2599530323967,2.36730633416952e-13,1.233671170679e-10
"16454","Solyc10g009570.2.1",0.782037714789532,0.363578870714987,1.77188208793955,0.335442597837511,2.92240796447566,1.57755320311338,7.15670463953928,83.0260910460934,2.43355075093078e-13,1.233671170679e-10
"3840","Solyc02g079950.2.1",0.854178119157072,0.332617079349037,1.42963107001745,0.313423182935909,2.57734681856761,1.40712382114009,10.0894559153061,82.6627604497338,2.5405390969687e-13,1.25213292215321e-10
"292","Solyc01g006720.2.1",2.08523932409493,0.0413544320610237,3.43513730371114,1.38418725605147,4.04502074431707,2.93315183322565,5.66967641227897,82.0765390459795,2.72420553209915e-13,1.30636699340636e-10
"3357","Solyc02g068760.2.1",2.47503967657384,-0.00580393807542594,4.070586267707,1.63650806522931,5.01838139256668,3.70935606694597,4.86339598789391,81.6323434437874,2.87307682664037e-13,1.34150005618632e-10
"16348","Solyc10g008020.2.1",0.805733673385924,0.237658958665772,1.69802806363529,0.485889684646134,2.92556576260315,1.36569987452113,6.18362031064215,81.2987405240963,2.99075172813141e-13,1.3606386644163e-10
"4678","Solyc02g091560.2.1",1.37018082690714,0.192771594742575,2.45224912841794,0.564613778794017,3.62528979904003,2.33566875634718,9.62748445416429,80.9647655003238,3.11387577731864e-13,1.36762242834323e-10
"17737","Solyc11g008620.1.1",1.29770986106301,-0.239153040092847,2.75102660596371,0.711621963525661,3.97711785279615,2.47933037843076,7.64906716894777,80.8426849638766,3.16026148690032e-13,1.36762242834323e-10
"12793","Solyc07g054820.2.1",1.15629930430491,0.374154296891101,2.02776520626656,1.00360350060114,2.83786991400244,1.95672184020416,8.03216033032777,79.4037856942441,3.76804373690579e-13,1.56155791429058e-10
"19043","Solyc12g008830.1.1",2.90146257985143,-1.29447959345552,4.53363713820276,1.81341290974406,5.87264754821008,4.56504749043074,4.84291453021391,79.3686174427762,3.78442147971003e-13,1.56155791429058e-10
"12898","Solyc07g056540.2.1",2.3255181797863,0.376049680050278,3.64926305724035,1.23727429670127,4.81480432973952,3.47491004099052,9.35172220000632,78.9858304098776,3.96782524082955e-13,1.60002552836451e-10
"15918","Solyc09g090510.2.1",1.34232367840334,-0.0411344937773117,2.13293995840414,0.833648216267222,2.903652634983,2.01074512979242,6.42193108589459,77.5312944929744,4.75909330951554e-13,1.87645761312743e-10
"6647","Solyc03g117890.2.1",1.24915258027978,0.119179859422895,2.11713613013401,0.293567648565371,3.31430082970866,2.01852612573212,6.80298338293639,75.4325248354278,6.22285204447484e-13,2.40026225706776e-10
"11309","Solyc06g072480.1.1",-5.22351281274324,-1.36150973932038,-6.58815491735074,-2.00734415782195,-4.37915783234544,-3.28964031558422,4.61992916213965,75.0182007949198,6.56665415468527e-13,2.42988876232296e-10
"3889","Solyc02g080540.1.1",1.00871731958913,0.299070155630325,1.91155660011569,0.610026901919421,2.79556307959909,1.4044592830388,8.68507137948398,74.9223110676678,6.6491586431251e-13,2.42988876232296e-10
"17012","Solyc10g079350.1.1",2.2442312561297,0.430699885838515,3.11496833158669,1.89192649744895,3.38502269929396,2.60046610511572,6.20135670821444,74.8518506064218,6.71050833307924e-13,2.42988876232296e-10
"4165","Solyc02g084410.2.1",4.49496231219511,0.764590370531446,4.01961470580378,2.40337190489097,5.05828418299038,3.92290546000634,5.83517120210121,73.4108610082297,8.11183887151012e-13,2.87856714194408e-10
"15802","Solyc09g082760.2.1",4.04303946354904,0.535383896767628,3.62403958168268,2.27530747603647,4.32325896078786,2.9481392013746,6.6946266071488,72.1045544444584,9.66315930961108e-13,3.36183207118489e-10
"10146","Solyc06g007160.2.1",2.36181560505739,0.412584574371192,3.59563019577543,1.36583593599102,4.92722750048541,3.148905095476,5.05789896184903,71.8639896078721,9.98290509651920e-13,3.40628240629885e-10
"9776","Solyc05g052600.2.1",1.49191718376325,0.377723237814025,2.34567663598448,0.80493488228198,3.19238890879595,2.20016067094623,7.91505843894233,71.5045105325325,1.0482548865594e-12,3.45834755507384e-10
"14008","Solyc08g068230.2.1",1.4508724625897,0.559336280555097,2.65116747927228,1.36356062023303,3.52181711351727,2.3005747242262,6.53296149161829,71.4746147444239,1.05253208574642e-12,3.45834755507384e-10
"14413","Solyc08g079240.2.1",1.4331406427107,0.254352067610009,2.31227962443876,0.896791768228665,3.72822540143117,2.51558851971284,5.99747109489568,70.8223791972809,1.15078088063896e-12,3.68903532745018e-10
"7916","Solyc04g057980.2.1",1.01077685015312,0.0222165072623829,1.71336820740835,0.0890621900478507,2.98863346390811,1.72302054770823,5.50278997560611,70.7372883337887,1.16432383665226e-12,3.68903532745018e-10
"9315","Solyc05g014310.2.1",0.599479862364797,-0.0081980435025275,1.41420571235457,0.545836958831054,2.88299520147895,1.44812318748923,7.20048856037068,70.4087401621961,1.21828027957016e-12,3.79227140358129e-10
"6060","Solyc03g097870.2.1",0.303120128501795,-0.372288352188206,3.7650606511483,0.255709904288198,5.82791687617747,3.20116812786806,4.86424966487488,68.9373969055396,1.49598962209448e-12,4.53029531943849e-10
"3924","Solyc02g081120.2.1",-3.83412146005468,-7.34143542101604,-2.86306952969747,-4.23627626026261,-1.5797774226521,-2.8588677029211,4.07250550245629,68.8880365964691,1.50643872990402e-12,4.53029531943849e-10
"11066","Solyc06g068010.2.1",0.829777718439277,0.146897331273243,1.7541732230921,0.368995112993882,2.93537107723974,1.97075307829282,6.94203783531875,67.8705874815321,1.74068818506117e-12,5.03618959033002e-10
"15162","Solyc09g014520.2.1",0.98990961281824,0.283693644815028,1.88887710777098,0.450976311355839,2.92130705754519,1.78634731629722,10.4323111176664,67.8006454611474,1.7582007242113e-12,5.03618959033002e-10
"13264","Solyc07g066610.2.1",1.05106402432923,0.288769910756588,1.74594718014221,0.331218602130996,2.13761711043193,1.24615870296743,8.89347536640495,67.7942417717477,1.75981375528637e-12,5.03618959033002e-10
"14178","Solyc08g075990.2.1",0.513248663838744,-0.568578479029164,1.94557418476022,0.189703549403441,2.96207521026788,1.87301630652711,5.24709416217275,67.3197549737901,1.88397330123847e-12,5.30592671172607e-10
"13205","Solyc07g065900.2.1",2.96405935270296,0.549592297689548,4.7360368048343,1.71609869907785,6.16314170703748,4.48576215229838,6.97223535293748,66.6694125045249,2.07003328388589e-12,5.71330616717631e-10
"5519","Solyc03g053110.2.1",0.814080583363434,0.310754220946003,1.53239334819348,0.57429020185675,3.02669052260733,1.8745037597698,7.02815528399814,66.5935385271551,2.093022041743e-12,5.71330616717631e-10
"3404","Solyc02g069460.2.1",0.886588178851556,0.231169599399232,1.65332078204647,0.315405601020657,2.68643300107421,1.53849707027248,9.2571436535129,66.2003257623922,2.21673622317284e-12,5.95932587996299e-10
"18476","Solyc11g066410.1.1",1.24810750107062,0.208953918078683,2.04131015725587,0.63648141020342,3.14612080332489,2.12912515210363,7.77146336570027,65.7332621655127,2.37421599847845e-12,6.28742006880643e-10
"7036","Solyc03g123760.2.1",0.967778331656538,-0.252533177233651,1.5986987113377,0.629117149821042,2.144887701838,1.36691918374021,6.60804778321592,65.4637444989832,2.47064666978422e-12,6.44657115617375e-10
"7899","Solyc04g056580.2.1",1.31838155985182,0.359624584756489,1.91346553077078,0.932057216139823,3.07855883432457,1.97494485083782,6.33062874458669,65.0044791705775,2.6450194267673e-12,6.80153328828002e-10
"9085","Solyc05g009930.2.1",0.843770832639324,0.131858425790003,1.65074569808448,0.43329306213007,2.41562391038615,1.34395969314217,7.26517049396966,64.6650776509575,2.78255503422877e-12,7.05298199604587e-10
"7498","Solyc04g015490.2.1",1.04642484262523,0.165176995975758,1.68649708463762,0.587177915415078,2.20733290915922,1.30749008234065,7.54816190691864,63.8361032218923,3.15263947521505e-12,7.8784904519353e-10
"4370","Solyc02g087150.2.1",1.00457068281925,0.140753254983268,1.90071780117707,0.622063487831581,2.67119379941131,1.83595896523503,7.3499489188747,63.7298304491933,3.20386604880244e-12,7.89530490331967e-10
"4355","Solyc02g086910.2.1",1.00823781450502,0.260150869123019,1.58845048194883,0.443654169146872,2.53452081751817,1.36916767899665,7.81526674386117,63.5807259254379,3.2772846762946e-12,7.9406535809487e-10
"5549","Solyc03g059180.2.1",1.18010981390446,0.357960751796273,1.90787360550565,0.894822044057196,2.81926945976741,1.70034168343867,7.13441064710517,63.5119389477615,3.31177571431102e-12,7.9406535809487e-10
"13818","Solyc08g063040.2.1",0.838743127879309,-0.84902920279687,2.16587539121208,0.984372331215351,2.91610498983287,1.75236443937102,5.65423720028718,63.335804468333,3.40192194296213e-12,8.04804013786362e-10
"19108","Solyc12g009650.1.1",1.38546113623482,0.00897207126700686,2.59889592375342,0.702678497134677,2.90764491541793,1.98811068624646,9.42022134712131,63.0412974349604,3.55872540959108e-12,8.30821907136508e-10
"5772","Solyc03g082960.2.1",0.857952083683718,-0.0177910138303432,1.62275266641418,0.623335007684161,2.52546395648685,1.67813860220928,6.25807559350019,62.6728132149388,3.76618509848886e-12,8.67836651980362e-10
"1718","Solyc01g096660.2.1",1.03212380298836,-0.201136681622263,1.57408704241985,0.184590164594343,2.67236500221962,1.36082033853049,6.0743526793173,61.5101281649521,4.51278699724962e-12,1.01807687507661e-09
"13039","Solyc07g063600.2.1",0.48651995923565,0.282140518755355,1.33171375107184,0.0477534508250159,2.63187679131977,1.31568869279053,9.81542677929845,61.4544719901777,4.55238947063848e-12,1.01807687507661e-09
"13521","Solyc08g013670.2.1",1.07671772618829,0.391213727559244,1.95562333111366,0.396232135721447,3.19946333507611,1.79335116940807,9.39512380685148,61.4016533169404,4.59032576261788e-12,1.01807687507661e-09
"3920","Solyc02g081070.2.1",-1.62548895849031,-0.510192378973042,-2.41780083216291,-1.00704427958446,-2.47877316068018,-1.6998844632823,6.19197176956622,61.0749420571267,4.83283002268756e-12,1.0586284332413e-09
"15856","Solyc09g084490.2.1",2.86708494976349,-0.487793303616753,3.38769753617345,2.13793655190563,4.90294724472634,2.90125535625707,5.93505168650015,59.738991187898,5.98144956385268e-12,1.29425438550534e-09
"15924","Solyc09g090570.2.1",0.851021410739868,0.475817169498018,1.75450050261892,-0.136637108015241,3.24035690301411,1.68257764518977,4.59855283600564,58.9338828572005,6.81639766159786e-12,1.45714871939435e-09
"16692","Solyc10g049710.1.1",0.85936929057653,0.1521608853202,1.38312542393673,0.655298328006778,2.11853837664811,1.43171547029615,8.25115960005108,58.6766476136803,7.1095009285042e-12,1.50171279731488e-09
"1082","Solyc01g080280.2.1",1.56508389057086,0.456055033858321,2.1141461534308,0.55957811675301,2.82782373067218,1.77759671613097,9.39264664777263,58.2777880903149,7.59169156226103e-12,1.58469862810821e-09
"10485","Solyc06g048730.2.1",1.02829202223368,0.256861692012021,1.95088550196616,0.829597256302859,2.78952578432456,1.65295549749769,7.8140276997118,57.8924100217681,8.0918586907395e-12,1.66606706361847e-09
"10115","Solyc06g005710.2.1",0.961096772560557,0.194365229311905,1.73919121165096,0.449378789788922,2.47976274869703,1.34656107321132,8.08179318625839,57.8350869853848,8.16929687960359e-12,1.66606706361847e-09
"19579","Solyc12g042770.1.1",0.996372852737086,0.341706625429183,1.71675771820201,0.531168742319128,2.99627956082148,1.92281996915625,5.47879337417606,57.683081432121,8.37860752959189e-12,1.68933674315397e-09
"1280","Solyc01g087970.2.1",2.31337097604687,-0.777684990140444,4.10294038347082,1.44316169994396,5.47001706923146,3.80359180647436,4.73945803377926,57.5422834443709,8.57774345360259e-12,1.6926269889734e-09
"3905","Solyc02g080810.2.1",0.965582393885027,-0.0383506141903923,1.52805769082204,0.190043305995595,2.61021673892478,1.42294881126089,7.77072866568572,57.5032226216176,8.63390460305231e-12,1.6926269889734e-09
"16273","Solyc10g006900.2.1",1.36046321442938,0.0877365918728184,2.21040006324041,0.425919126860872,2.48831882806924,1.69629885928906,9.31959688263045,57.4150061274148,8.76223130773542e-12,1.6926269889734e-09
"19104","Solyc12g009600.1.1",0.627304806179239,0.12528370855697,1.54654037251494,0.51031807606455,2.98477428994898,1.68385773602771,7.60127089618897,57.4052756209426,8.77651372290778e-12,1.6926269889734e-09
"17764","Solyc11g008990.1.1",0.826732287693947,0.164441724029736,1.19803487286269,0.483302609011099,2.05272736144869,1.2802176288472,6.51686437822649,56.9324679657043,9.50225058986182e-12,1.8128863679131e-09
"17547","Solyc11g006020.1.1",1.95893653247121,0.478782395047094,2.34524301014328,0.795318816168878,4.20534245667768,2.33070453810809,4.80384817321658,56.6615701866493,9.94756081437588e-12,1.87765501627097e-09
"15079","Solyc09g011080.2.1",1.54851552185477,-0.259220318829347,2.90119842134424,0.876805869704074,3.73142239435649,2.74576153445128,6.1082823895057,56.5965588525408,1.00578028479178e-11,1.87847995716427e-09
"16246","Solyc10g006530.2.1",1.20145579745383,-0.418310698204786,2.74238959555364,1.19313879266743,3.73573946924599,2.50193926537657,4.27361949479048,55.3327938514007,1.24905392382946e-11,2.30853789276106e-09
"738","Solyc01g057830.2.1",1.11579617164235,0.193428832458474,1.67104060977786,0.661125865365979,2.20220091891047,1.63790846227937,9.41335740420911,54.9826254784898,1.32740245200988e-11,2.4280517222692e-09
"11475","Solyc06g074730.2.1",-2.36362896928452,-1.95142569084623,-2.72074368027828,-2.13282610972904,-4.09100776961571,-2.90233156612284,4.74853009327226,54.4414921780702,1.45929284343792e-11,2.61619313385163e-09
"10026","Solyc05g056070.2.1",0.887706534888375,0.312503597072738,1.64492817182116,0.206176367068978,3.02483406852437,1.50971450227708,9.19282168101696,54.4361813428745,1.46065648584759e-11,2.61619313385163e-09
"1862","Solyc01g098640.2.1",1.06070678277066,0.314279047921041,1.53662860071321,0.257087674791519,2.16938366653707,1.25330270001279,7.54371080301231,54.3825989098983,1.47449311494766e-11,2.61619313385163e-09
"2735","Solyc01g111630.2.1",0.926956531464287,0.17585699345371,1.45443549213607,0.253433785925888,2.38027524014761,1.40590500146386,8.5676439273392,54.2594061636425,1.50685381131309e-11,2.64713932417111e-09
"7157","Solyc04g007210.2.1",2.32552236396206,-1.49372107486262,3.70225053244237,0.600069387582484,4.87206923485874,3.43160137601111,4.13406453134725,53.5238498661394,1.71705095975219e-11,2.98682697832187e-09
"13413","Solyc08g007040.2.1",2.40434104572221,0.372358109298567,3.13410540232065,1.44868789840629,4.28260363351954,3.42251102909372,7.14642332390979,53.4528133771118,1.73899538030349e-11,2.99563058570144e-09
"11684","Solyc06g082940.2.1",0.900961655604696,0.236490484915337,1.74523845712948,0.359401309684486,2.4370889359337,1.5792198954401,9.36326055568043,53.2234864218431,1.81196511479833e-11,3.09131702229488e-09
"9230","Solyc05g013160.2.1",1.12936108773444,-0.0464186401115985,1.62530844820531,0.506819872274065,2.50554102652454,1.44940467962451,6.70829532822265,52.8882091550688,1.92476436074367e-11,3.25248514787381e-09
"3403","Solyc02g069450.2.1",0.760422804417681,0.251430352295647,1.90374490951722,0.446894285038616,2.77825800751033,1.6508651750717,8.67687914904868,52.6514731559296,2.00904553933823e-11,3.36287688721492e-09
