"","genes","logFC.groupP4d","logFC.groupP4p","logFC.groupP5d","logFC.groupP5p","logFC.groupP6d","logFC.groupP6p","logCPM","F","PValue","FDR"
"3924","Solyc02g081120.2.1",-4.64198655513404,-5.88653018907736,-4.66351415205553,-6.74406733634925,-5.47902924266592,-6.01351638740907,4.69516411408371,79.6094631271819,5.40373724596914e-13,9.68079527615372e-09
"6426","Solyc03g114940.2.1",-2.01162875755321,-0.83216615359244,-3.70442256780039,-1.74851624991244,-5.73302414581491,-3.68752069200512,8.21473222469195,61.4847609861132,6.38178785735273e-12,5.03853242111223e-08
"6670","Solyc03g118160.1.1",-2.92322057542952,-1.31469350415107,-5.24922391876631,-2.48096489406983,-7.60643783978457,-5.36819860556624,5.99843617488068,59.6998030406006,8.43739730021585e-12,5.03853242111223e-08
"2870","Solyc02g021260.1.1",-3.36767391155772,-2.00594826295684,-5.5729557049996,-3.24626073556608,-8.03851386505907,-5.83967035017414,5.05283959400253,53.850025654631,2.23289860967367e-11,1.0000594648076e-07
"2962","Solyc02g032940.2.1",2.01520372414941,0.685852026652231,3.6119079972613,1.85411953615918,4.52717598338556,3.55620319935924,4.65691187466825,50.307685328252,4.22765497236845e-11,1.51476877659962e-07
"7242","Solyc04g008500.2.1",0.0123847134010451,-1.6320358447132,1.09124072118727,-0.0323302909441669,2.83047820522668,1.5209216686503,4.76013532619641,45.8397215866157,1.00631958929519e-10,3.00470257370388e-07
"7118","Solyc04g005700.2.1",2.59589150869493,0.582588725972044,2.93284166544478,2.66677505647433,3.61209375289007,2.97614985062357,5.99776265328427,43.8961986122059,1.50389096183053e-10,3.84888665445627e-07
"19243","Solyc12g013820.1.1",-2.73572003402095,-2.13711662039121,-2.29738711918132,-2.4794211353281,-4.10320184550462,-3.54694289565738,3.6780972547649,41.162528212098,2.72261056441075e-10,4.96873229728709e-07
"8745","Solyc05g005090.2.1",-4.87404257313254,-4.67347374891684,-5.29257196983323,-4.9855231305233,-9.30461703429141,-7.40561359242096,3.4340376206336,49.1938304133399,2.82097009410247e-10,4.96873229728709e-07
"14582","Solyc08g081710.2.1",-0.629997033228631,-0.452138159245499,-1.61214680035011,-0.7053202696423,-2.45841370011073,-1.41229605477333,6.37861928317931,40.8508939857936,2.91980916816463e-10,4.96873229728709e-07
"8816","Solyc05g006110.2.1",0.694910711505791,0.614147376847554,0.94723712403614,0.885226172845544,2.796184540148,1.39566965771389,5.12101232102064,40.6563334755299,3.05085432710901e-10,4.96873229728709e-07
"17821","Solyc11g010710.1.1",-1.75900534944522,-1.06810178709238,-2.18396656849082,-1.20811352604967,-3.58124293951506,-2.28339774956702,6.3877245402254,40.0659970591763,3.48968470383938e-10,5.02751474083983e-07
"3817","Solyc02g079510.2.1",-3.1553818082888,-2.62815067624386,-4.0815621040841,-2.87585737723795,-3.38266550557222,-2.28468935583517,3.19617400166322,39.8725665931371,3.64821052921673e-10,5.02751474083983e-07
"4220","Solyc02g085100.2.1",0.627513349951723,0.558382646208503,0.83216412503923,0.574059758432393,2.6714310843432,1.40602080885467,6.63287671925661,37.1039681686791,7.04592400578425e-10,9.01626632597321e-07
"8312","Solyc04g077510.2.1",-0.580481328594231,-0.376050824903924,-0.890941286409588,-0.467968250520866,-2.32554247402184,-1.19500496958063,8.9122354329698,36.4385764436802,8.30810982903285e-10,9.79945033222841e-07
"8913","Solyc05g007510.2.1",-0.517198155944921,-0.360272486272692,-0.906032332010256,-0.589690049685634,-2.22605136854269,-1.26283711790282,6.64116269512508,36.0273817833598,9.21120916145103e-10,9.79945033222841e-07
"13244","Solyc07g066350.1.1",-0.482390631886822,-0.130309512838382,-1.15069840349586,-0.375968172240072,-2.85879742339483,-1.69906197779239,7.17652389589318,35.9898143999861,9.29894812435852e-10,9.79945033222841e-07
"6815","Solyc03g119960.2.1",1.02780363477831,0.311889148221408,0.995562004701159,0.550703002191191,2.37454933696173,1.23105613403775,5.65675006032845,35.3533099693242,1.09341186069438e-09,1.08824852690777e-06
"9528","Solyc05g041220.1.1",-3.50511093733267,-1.35330916618154,-5.98685621848068,-2.99774553135079,-6.21287060345932,-4.96539790209737,3.50355950084197,34.9187805111202,1.22310900392591e-09,1.0979203284775e-06
"13838","Solyc08g065420.2.1",-0.75074702072553,-0.162597854539746,-1.39956059459791,-0.467737273022138,-2.78687595939246,-1.01478384163968,7.96498285019557,34.9106250727702,1.2256995015099e-09,1.0979203284775e-06
"7340","Solyc04g009820.2.1",-1.27946372526743,-0.322290796280762,-1.45846475014119,-0.646834294720774,-2.30427624630443,-1.19121644663548,7.33607053641156,34.2671242080709,1.45043144186058e-09,1.23735615623487e-06
"11449","Solyc06g074320.2.1",-4.54305645203135,-3.19801582574031,-5.02417547767788,-2.98003601740049,-9.28534476087636,-4.6034968916447,3.64233401899794,39.8787677025516,1.64720920838022e-09,1.34135240764235e-06
"17778","Solyc11g010170.1.1",0.0377157061972287,-0.0623482334933926,-0.481736269003044,-0.0686275881032196,-2.24467166816158,-0.762365266310163,6.65430465613506,32.5856197492224,2.28291914124346e-09,1.68157355566016e-06
"9289","Solyc05g013930.1.1",-1.31155697643545,-0.569202284408532,-2.17244620185844,-1.20869607449513,-3.90285610350459,-2.65411339074241,4.97870594051091,32.5146010295689,2.32813407005797e-09,1.68157355566016e-06
"4269","Solyc02g085750.2.1",0.533868565268577,-0.418039282628635,1.04148448953406,-0.499234348631299,3.2944116285161,2.28665777502546,4.03082237474778,32.4860314662282,2.34659999394385e-09,1.68157355566016e-06
"11872","Solyc07g005680.2.1",2.69463808163951,2.79275908732539,3.68674755222497,2.65340343976415,6.06746124221558,3.41429236951016,3.47977883123042,32.0469561822571,2.65160938176854e-09,1.82706084901475e-06
"5735","Solyc03g082430.1.1",-1.60618157442039,-0.878954452204883,-2.06785524816891,-0.90589461259679,-4.09015372642877,-1.29620019556049,5.03779676988201,31.6530901693849,2.96255672491283e-09,1.96571124914123e-06
"520","Solyc01g010150.2.1",-2.1264010192876,-2.22498656417056,-2.35307937407617,-2.16187784774721,-2.68295160419979,-2.57321424245135,5.17240567213815,31.3497972395336,3.22932910219026e-09,2.00596919842234e-06
"17301","Solyc10g084320.1.1",-0.29219733238742,0.310933322336034,-0.960337003722793,-0.0641709570519896,-2.24968371508549,-0.858716522365243,8.21189247406948,31.3305015136357,3.24717313727311e-09,2.00596919842234e-06
"8579","Solyc04g081080.1.1",-1.13901473242096,-0.617641351369965,-1.24342227900411,-0.778547653939236,-2.59435510734117,-1.60678924980154,6.664370369468,30.9839038414423,3.58686644347204e-09,2.14195707782672e-06
"18930","Solyc12g006260.1.1",3.38798093978421,1.86954133662181,3.66585409761933,3.25115149527068,5.69094993189252,4.01604709719839,4.69670891689025,30.716587470337,3.87555082476529e-09,2.23969332340872e-06
"6608","Solyc03g117430.2.1",0.569031372341946,0.28685866189003,1.01410461872993,0.369543350835693,2.10792170812823,1.19782054950198,7.05925011307748,29.7989851305558,5.07840543203153e-09,2.8431135410889e-06
"3042","Solyc02g061990.2.1",-2.59561266436652,-2.66577302575441,-5.02160591871371,-3.32749049271872,-6.12131096333648,-4.06742664904108,3.319941944275,29.018574056446,6.42828609523604e-09,3.37386670610205e-06
"19382","Solyc12g019480.1.1",-0.925733803840783,-0.284045871083194,-1.12692628056075,-0.629323738120306,-2.57396681758825,-1.09400161441261,6.64308320145607,28.9729725712695,6.51855156135616e-09,3.37386670610205e-06
"3697","Solyc02g077960.1.1",-2.9735953247387,-2.2427054644518,-4.47063482993332,-2.13316610331183,-4.71120244731984,-3.37549520850747,3.02862613136388,28.9366619105015,6.5914225349468e-09,3.37386670610205e-06
"15452","Solyc09g064230.1.1",-0.168117220123733,-0.283369052158765,-0.583133552569382,-0.659191014129472,-2.69093835772202,-1.50697095971945,7.55010460505259,28.7202220551441,7.04479712827001e-09,3.50576501535992e-06
"4689","Solyc02g091710.2.1",-0.956299667630635,-0.651372026957795,-1.7089564726928,-1.04466886694183,-3.0983799131112,-2.05310539628694,5.3546114097622,28.3802479726782,7.82767845088071e-09,3.75980234835851e-06
"5061","Solyc03g006900.1.1",-0.52288746557375,-0.382333874812959,-1.41070326033239,-1.07022210210373,-3.99398283358127,-2.55416365244413,4.74006777101667,28.3204509542167,7.97502033143306e-09,3.75980234835851e-06
"12945","Solyc07g062310.2.1",-0.544499002606717,-0.241485534724092,-0.971268620585265,-0.617078168957854,-1.98948513416717,-1.05982623624722,7.14466124784182,29.149571601367,9.00018593683652e-09,4.046447669597e-06
"1508","Solyc01g094020.2.1",-0.836881099505546,-0.92303489963637,-1.26118576081063,-0.90853850890315,-2.54049702763746,-1.91589140934262,6.07490676863388,27.9231963271581,9.03477012469327e-09,4.046447669597e-06
"7850","Solyc04g054800.2.1",-1.42729660231233,-0.518129675447425,-2.86145247535693,-1.172238551414,-5.43853468815394,-2.37243174369025,5.21864891555864,27.7156467138293,9.64926654826649e-09,4.13529285746123e-06
"15894","Solyc09g090180.1.1",-5.48006184435758,-3.56353966437662,-5.54328877202241,-3.59979995694894,-6.87074721332184,-4.25728562002687,4.55609054021181,27.7008499586416,9.69479765634225e-09,4.13529285746123e-06
"20498","Solyc06g005780.1.1",3.02908328747242,-0.569930763050878,3.87706178348161,1.62260113425082,4.8141537158933,3.5307407750785,3.27224805801583,27.5267476053369,1.0248629751485e-08,4.21018509716745e-06
"2746","Solyc01g111740.2.1",-0.664802173685409,-0.268924166898945,-1.03656295078938,-0.526619974039153,-1.94578823531708,-1.10690013387928,7.05849753780168,35.4932620861925,1.03884371993799e-08,4.21018509716745e-06
"22654","Solyc08g023660.2.1",2.59668794475138,-1.45060188012158,3.23251255111173,1.7734346532392,4.29368641244333,2.53234412249108,4.3632928977473,27.428805865777,1.05754021419221e-08,4.21018509716745e-06
"12211","Solyc07g019650.2.1",0.560896551438072,0.296626569967081,0.846722518868945,0.214801748080323,1.79040234371619,0.935592306815502,6.60483251742524,27.034824942704,1.20104639939024e-08,4.65114153786438e-06
"11994","Solyc07g007280.2.1",1.10932944610014,0.334003823642261,1.06351503613258,0.797294862500431,2.93530553187674,1.08427378368442,4.29565527435148,26.986115480173,1.22022691755303e-08,4.65114153786438e-06
"5265","Solyc03g026040.2.1",-0.101940176211431,-0.238382027225541,-0.441116505438374,-0.261073022254788,-2.488230624472,-1.38270705951062,7.20566240832423,26.3359123906174,1.51124482742315e-08,5.57673043565335e-06
"14095","Solyc08g074680.2.1",-1.91248785747342,-0.723236040438404,-2.21042834106332,-1.2696776524476,-3.28372448537887,-1.58325957802723,6.87070856228354,26.3080550106947,1.52531281801292e-08,5.57673043565335e-06
"3484","Solyc02g070620.2.1",-1.6803200628682,-1.40283841344584,-2.12353097299757,-1.64132295893869,-3.4316143117426,-2.44800446517959,4.10856521088502,26.0692604980649,1.65198199429576e-08,5.91905148556171e-06
"4776","Solyc02g092820.2.1",-1.28004131607952,-1.72679293418259,-2.09598686467241,-1.43680390809843,-2.72663602377874,-2.11694598112722,5.80438083004255,25.9008368863442,1.74826256219583e-08,6.14120074543888e-06
"16936","Solyc10g078260.1.1",1.94458930304714,0.457696752955894,1.80611170362729,0.770171107211969,3.89480794840618,2.10885945257479,4.50933541417234,25.8060504319649,1.8051472450185e-08,6.21907940278969e-06
"3447","Solyc02g070000.2.1",-0.686662995793453,-0.34150628587929,-1.01545245008317,-0.697865204546462,-2.34544698660562,-1.49330852700286,7.54680443493293,25.7265438408786,1.85443187361339e-08,6.26832962561959e-06
"1578","Solyc01g094890.2.1",2.94469350792152,2.04876621242906,3.49500026704516,2.35762519324047,4.36204787310159,3.92516700519326,4.95233006646839,25.4554984903839,2.03388538812625e-08,6.64403918758904e-06
"16476","Solyc10g011940.1.1",-0.187247761699626,-0.0892540860098478,-1.03767698313658,-0.400866846697252,-2.91750716023762,-1.36928012760184,5.20838425284877,25.4060623753388,2.06862965892981e-08,6.64403918758904e-06
"2018","Solyc01g100600.2.1",-4.31341552727333,-3.94779477328476,-4.39602239570457,-4.07537345860096,-4.4896725320513,-4.67169459075569,3.51134154659662,25.3945110378484,2.07684172204849e-08,6.64403918758904e-06
"19269","Solyc12g014140.1.1",2.457532321749,1.0632580064275,3.61891841649095,1.8535197450504,4.85996584320018,3.50193003427935,5.63519356414555,25.1933498785407,2.22574832508151e-08,6.99548793751495e-06
"23171","Solyc04g007010.2.1",3.20174525594525,-0.443609232999326,3.72406807963628,2.34533187153683,4.9693148472946,3.97805692401667,3.77669771397118,25.0984034129141,2.30007371676149e-08,7.07930632093014e-06
"24407","Solyc04g014520.1.1",2.79953409584213,0.565924458926251,3.59975716582401,1.69090143582409,4.49634806277693,3.19839246420289,3.65381658318243,25.0593305009093,2.33144891395411e-08,7.07930632093014e-06
"17810","Solyc11g010570.1.1",-1.73638987351261,-1.39710504988557,-2.9035995484449,-1.69710730611416,-1.99159375840301,-1.98636307914614,5.21860933142963,24.8526537265709,2.50542629207227e-08,7.48078533707911e-06
"17691","Solyc11g008010.1.1",-0.49038710496941,-0.256049719021336,-1.10131863183135,-0.680262967980124,-1.72220439508371,-1.40528767756827,6.84959591108195,24.5855668997555,2.75172145972372e-08,8.01747728008254e-06
"2924","Solyc02g030460.2.1",-0.136278980497074,0.169461889384454,-1.2388159055871,0.0869488272612543,-2.09596185399612,-0.725765369401859,7.08432384326967,24.5620212057785,2.77467815442432e-08,8.01747728008254e-06
"4661","Solyc02g091310.1.1",-4.60040013666662,-3.63041682478063,-4.39993273375004,-4.70719181318209,-4.98287773891282,-4.25104569941027,2.58859343255431,24.5011513407209,2.83500635248999e-08,8.0617680642632e-06
"15879","Solyc09g089940.1.1",-0.451628136930567,-0.397324290687282,-0.726343053884287,-0.50734681180711,-2.21616910982231,-1.46833661882041,5.45949836546184,24.4390329264952,2.89806106875813e-08,8.1123068823128e-06
"11930","Solyc07g006380.2.1",0.402395634803634,0.280522825168503,-3.37429127568057,-0.663361545642985,-4.89395798619589,-3.44328438877123,8.45039646838231,24.2246767404473,3.12776727582976e-08,8.47273564337977e-06
"16968","Solyc10g078680.1.1",-1.12346633666651,-0.430029271074908,-0.910045049693548,-0.648056432044609,-2.48478086605766,-1.37443881558465,6.67100533190504,24.2175363723776,3.13575564047215e-08,8.47273564337977e-06
"13133","Solyc07g064950.2.1",0.444966602883288,0.122917139630879,1.31185735747178,0.218993385396692,2.57507985193424,1.18203200685683,7.00317070596251,24.1882955039181,3.16870381304184e-08,8.47273564337977e-06
"495","Solyc01g009670.2.1",0.0107926832260474,0.0435880296225731,0.284466239661989,0.135740485823807,2.08517442877411,0.865268053678371,4.94574089927985,24.0987363594073,3.2720070463022e-08,8.62029503448588e-06
"370","Solyc01g007810.1.1",0.981072885795871,0.608411785291538,0.848759247216376,0.908649419819879,2.46025843466896,1.65576834937602,5.33980932828912,24.0125765135328,3.3748906071987e-08,8.67831923882247e-06
"19834","Solyc12g088320.1.1",1.97983816264685,1.09956785444615,2.20750419027328,1.8985328537778,3.41466537534684,2.29526077410176,4.58082060680215,23.9994172825533,3.39091457838444e-08,8.67831923882247e-06
"12795","Solyc07g054850.2.1",-1.31540109533115,-1.00254604706522,-1.72399884961522,-1.04473894474595,-3.10636636590867,-1.98397483127642,6.88974200688995,23.8571076886598,3.56964740537714e-08,9.00707510807487e-06
"19300","Solyc12g014520.1.1",-3.0365506524246,-0.538480251718953,-3.32087254618173,-1.55255574192318,-4.02428046831938,-2.55352120062851,3.97030383350134,23.7107784064091,3.76428333334051e-08,9.36626887733268e-06
"6249","Solyc03g112630.2.1",-1.29056760369255,-0.595389310939493,-1.83518505008973,-1.01509553380588,-2.27534315094079,-1.45409532690224,6.24960707701647,23.5793947936347,3.94900430973315e-08,9.69128934368074e-06
"4370","Solyc02g087150.2.1",0.278165454416455,0.288260061117756,0.717042861589542,0.243316464972835,1.9627516017393,0.92161007381021,7.16180781332296,23.5058863729552,4.05668287881398e-08,9.82100996945302e-06
"12814","Solyc07g055180.2.1",-0.735893909731689,-0.223726045064022,-1.16600645866097,-0.506773467232819,-1.96160671222226,-1.00030202876646,7.02079627727611,23.4523670456556,4.13710902737076e-08,9.87905238774938e-06
"4203","Solyc02g084900.2.1",-4.09561869583989,-2.20193081811499,-4.13260784944663,-3.22281207281762,-6.05680180811909,-4.01340909299909,2.60948217734491,23.4171761054346,4.19094603108542e-08,9.87905238774938e-06
"104","Solyc00g071180.2.1",1.39102596509109,0.422846763714041,0.234174018271137,1.70498585052402,-1.04977634818236,-0.61214490941803,4.59203225095266,23.1406252426111,4.64183405796556e-08,1.07997996296692e-05
"4697","Solyc02g091840.2.1",-0.89076240539785,-0.619913332320823,-1.06584968877496,-0.890792807371684,-1.95687161520724,-1.34955300565496,8.72049922041228,24.0946964431733,5.11685248252508e-08,1.17523605415945e-05
"4012","Solyc02g082260.2.1",-0.708097454464505,-0.159270557772814,-0.940387794078355,-0.61981538943104,-1.95246497059491,-1.06830855270765,7.81099274093696,22.813228285118,5.24578566314349e-08,1.18959810323058e-05
"16692","Solyc10g049710.1.1",0.20712335178713,0.320563358036896,0.578663069160488,0.20254783581518,1.72428958310136,0.863184577298391,7.98002255033463,22.714085119796,5.44532568080158e-08,1.2194126196445e-05
"5409","Solyc03g034390.1.1",1.91313239158479,1.34317693986998,0.814645001517649,1.65927761797587,-1.0118058497905,0.119189503571956,5.65362682579233,22.2596192009401,6.47317704408691e-08,1.43169094746688e-05
"19918","Solyc12g094620.1.1",-2.18406643618805,-0.935307501490159,-1.80003510999248,-1.47535392282637,-2.64134550019623,-2.43313544910825,8.84956220951423,22.0462464089385,7.02781399722032e-08,1.53540594829515e-05
"6888","Solyc03g120850.2.1",0.54782483085862,0.291223782944185,0.882401345681166,0.339042560691538,1.74183155532073,0.756067809986825,8.00951324199696,21.9818100621695,7.20541838649157e-08,1.55524181197586e-05
"16903","Solyc10g076790.1.1",-2.69800739789829,-2.30226542481111,-2.40750559304005,-2.00226734248979,-2.78591848559874,-2.13582288553732,3.71554572375573,21.8597037775763,7.55565769599801e-08,1.61142390028339e-05
"6118","Solyc03g098790.1.1",1.53458656206586,-1.39993705115072,-1.04692713795855,-0.314130010569105,-2.19523503550692,-2.33451123993297,4.50264033205468,21.7249372142276,7.96406837861256e-08,1.66438082539977e-05
"2460","Solyc01g107890.2.1",-0.97251673850023,-0.075697474737961,-1.78638435530172,-0.387931961575221,-2.06789268768703,-0.680123380757693,5.48758158609996,21.7167111983461,7.98977119644878e-08,1.66438082539977e-05
"1305","Solyc01g088300.2.1",1.1412162234678,0.379150215545255,-0.405159804332069,1.12981468926475,-0.747232518508173,-0.559362056225668,5.72478148432516,21.6565695579553,8.18048033370566e-08,1.68452074917629e-05
"6117","Solyc03g098780.1.1",0.683244451354865,0.238709453973719,-0.344835196003576,0.24261420804309,-1.38412778628298,-0.899941918234976,8.60560011970341,21.4302368831247,8.94430869144758e-08,1.80710120571454e-05
"14498","Solyc08g080470.2.1",-1.50057368136886,-1.42957940867571,-1.65069474675787,-1.42325302036897,-2.5969243073309,-1.89998708368075,6.32991390154617,21.3479866581075,9.24102341803989e-08,1.80710120571454e-05
"1837","Solyc01g098240.1.1",-2.5180327014009,-1.38257141878531,-3.37909383985245,-1.76622760376141,-5.61609615693115,-2.69132739230261,4.33775004986574,21.3360683375189,9.28490809277728e-08,1.80710120571454e-05
"6901","Solyc03g120980.2.1",1.02047551657508,0.222661874366079,1.85313221785151,0.238839304335635,2.35339322762021,1.28249142696513,5.58969102507815,21.3223468166274,9.33571607656875e-08,1.80710120571454e-05
"15095","Solyc09g011380.2.1",-1.09237726812512,-0.644891937217008,-1.89448129478312,-1.01175564783792,-1.92450185023309,-1.61506368381403,6.13256288866804,21.2871786562305,9.46733655232919e-08,1.80710120571454e-05
"1134","Solyc01g080910.2.1",-0.705366256498012,-0.450839567478047,-1.22959324667135,-0.489588397059967,-2.48627729579639,-1.55654828974869,5.55023311125184,21.2746484347016,9.51472362052057e-08,1.80710120571454e-05
"17767","Solyc11g009020.1.1",0.777027921199225,0.696577819296535,1.23824371504405,0.387657858013885,2.63307434776866,1.28345818402449,5.49424479428296,21.2442614004655,9.6307276501447e-08,1.80710120571454e-05
"16333","Solyc10g007800.2.1",-0.957724411191736,-0.297775930651691,-2.1629270402115,-0.478225005125235,-4.57431648388131,-2.44025276473754,4.8034937768733,21.2197775046603,9.72532662872964e-08,1.80710120571454e-05
"6689","Solyc03g118370.2.1",1.97811082150071,1.06824228879299,2.05109413886481,1.40389280499193,2.63807334461357,2.33619329275502,5.85661637451891,21.2118806609608,9.75605516925753e-08,1.80710120571454e-05
"14370","Solyc08g078640.1.1",0.733723907266044,0.866463424186923,1.46072764993396,0.717169366313233,2.05300366250261,1.57666384168602,6.29983154510712,21.2046021596794,9.7844720599671e-08,1.80710120571454e-05
"8479","Solyc04g079830.2.1",1.51454153629795,1.162338147309,2.81778385717371,1.10514297817479,3.58206639866821,2.77303257427743,5.55686746108885,20.9095746918191,1.10165323513407e-07,2.00524936432026e-05
"213","Solyc01g005540.2.1",0.393120447199891,0.271534525143093,0.732865641465835,0.287666965772121,1.81364726347184,1.07764850975574,6.25934725182925,20.8951043197717,1.10811993897687e-07,2.00524936432026e-05
