"","genes","logFC.groupP4d","logFC.groupP4p","logFC.groupP5d","logFC.groupP5p","logFC.groupP6d","logFC.groupP6p","logCPM","F","PValue","FDR"
"6426","Solyc03g114940.2.1",-4.2629664755346,-2.01865989670732,-4.53714277801943,-4.23350232466658,-3.50870704052303,-3.96078702520639,5.40373315969093,95.4380654183302,5.32827217456528e-15,9.35644593853663e-11
"4320","Solyc02g086460.2.1",1.18837064773478,0.56774649571279,3.38039613281091,1.77373697761331,5.53875235572145,4.34744114956285,8.83172022362813,80.9005550885532,3.20629507388593e-14,2.64109030441897e-10
"19382","Solyc12g019480.1.1",-2.44236344646228,-0.936824562083934,-4.20882264991711,-2.70648231357178,-4.93825488649081,-3.99137318415418,5.67590354576665,76.164967778928,6.14988064121449e-14,2.64109030441897e-10
"337","Solyc01g007320.2.1",1.93907681103834,1.17630847236537,3.6234463325693,2.35149834617003,4.35682284094004,4.04517041145714,8.52163804020576,73.1170342685802,9.54663436964922e-14,2.64109030441897e-10
"14687","Solyc08g083060.2.1",2.38195043821402,-0.382024585764352,4.13866935835265,2.9281901916043,5.68203299941511,4.74954378413402,5.05153871992392,73.0114490609751,9.69616381639688e-14,2.64109030441897e-10
"8649","Solyc04g082010.1.1",2.07670980614671,0.663485249833057,3.36084660667886,2.08198075984067,3.63954982245596,3.56002231336155,11.0571381137034,71.3796693399697,1.23622910669265e-13,2.64109030441897e-10
"451","Solyc01g008920.2.1",2.94241409968383,1.27704282069849,4.2476535198015,3.27758399374994,4.66179680419907,4.45491164127839,5.46406002557782,71.3143941252711,1.24843589020303e-13,2.64109030441897e-10
"6039","Solyc03g097590.2.1",3.45558358882892,1.75951910348094,4.75501748216795,3.28556395619167,6.73207839570828,4.97389645494742,5.35142571720765,70.8300241114707,1.34321820002777e-13,2.64109030441897e-10
"3089","Solyc02g062780.2.1",-1.19202933313977,-0.385241883029143,-3.05598241215328,-1.60499618768346,-2.96394164258641,-2.40705918804433,6.30398102089648,70.7790757117551,1.35363398290266e-13,2.64109030441897e-10
"8767","Solyc05g005490.2.1",2.84313369436915,1.16523361681037,4.26117387971283,3.38535485433796,4.82665055731851,4.62885750439579,6.99129451669035,68.7690168914647,1.84373138059072e-13,3.2375923043173e-10
"13780","Solyc08g062220.2.1",2.17324785668119,0.682112977142128,4.304968194199,2.79931384029085,5.06970899666339,4.37872637083288,5.69404127632467,67.7810872136036,2.1528306094717e-13,3.43670050021118e-10
"20684","Solyc08g081400.2.1",3.04344941525704,1.31730115712328,5.06728657187478,3.71234030577182,6.10438787504656,5.13948287965649,5.46604645690017,65.6506671815471,3.02936966746037e-13,4.43297761338367e-10
"9256","Solyc05g013480.2.1",1.17884214207347,0.250993050645968,2.76094837050401,1.43578120016128,3.65184464835351,3.07885442593999,6.26047937378447,64.9414747212421,3.40200572395689e-13,4.59532465482176e-10
"292","Solyc01g006720.2.1",2.05608623218545,1.1601069601211,3.70410248864091,2.35417136433524,4.78629717325656,4.14770417848278,7.47222186680882,63.4301722576851,4.3736164659856e-13,5.28111895603485e-10
"7011","Solyc03g123430.2.1",-2.87386064570025,-1.35288008056102,-6.3002183816145,-3.07630068291359,-5.87100771933027,-4.72704388812551,4.14645281609102,63.2461310708239,4.51120639752408e-13,5.28111895603485e-10
"9625","Solyc05g049980.2.1",-0.185443896593896,-0.224898472163975,-1.59220857301452,-0.628231392467417,-3.35770245471324,-2.35578550640655,6.74215241864044,62.3928943534958,5.21361607152707e-13,5.57940212600192e-10
"5004","Solyc03g006080.2.1",2.05801451841235,0.625214064991954,3.92998407958032,2.34874348031205,4.56659189211906,4.04075924166426,5.08088901540496,62.1858227157869,5.40147130649388e-13,5.57940212600192e-10
"20166","Solyc12g100330.1.1",-0.59322866096313,0.0441478701410564,-2.31866927725253,-0.996110787471764,-2.99627424995757,-2.46655155629949,7.97851158732989,61.2462987765945,6.35137090649057e-13,6.1961151732208e-10
"7644","Solyc04g039850.1.1",2.00197861695823,1.14025267559209,3.61946847455669,2.22636354401794,4.62895711528402,4.30184556806204,8.50878078429018,60.8803431530626,6.76930632181675e-13,6.25626415847906e-10
"8004","Solyc04g071500.2.1",-1.92053185505338,-0.760576897071927,-4.19448590815291,-2.25217582288257,-5.14532655839037,-5.12096036742626,4.63641305787613,60.3124934993536,7.47821571993836e-13,6.56587340210588e-10
"1043","Solyc01g079750.2.1",-0.66678951228907,-0.113540891411395,-1.78620349128267,-0.923078971952922,-3.21965442951907,-2.12472675847364,5.80902768537391,59.8412568412502,8.12795668484153e-13,6.67577731230384e-10
"20703","Solyc09g011710.2.1",4.07496178402008,2.4170609035178,5.53619689855853,4.03012567179724,7.0184625858286,6.01444496806393,5.4584392795053,59.680313024019,8.36373011792053e-13,6.67577731230384e-10
"625","Solyc01g017220.1.1",1.77281889470483,0.570745688329162,3.58949043247263,2.31342855889386,4.09602657749448,3.90841051079803,5.89189169329843,58.8144806387668,9.7666977236664e-13,7.45666139250356e-10
"12814","Solyc07g055180.2.1",-2.42944096999492,-0.84365469902799,-4.73354376392785,-2.74740103658078,-5.17166650276084,-4.81380070309316,5.42465124157085,58.3575529632273,1.06086837804102e-12,7.51120051304671e-10
"19211","Solyc12g011280.1.1",2.02292370430528,0.705770986362649,3.54067731074861,2.41599492315263,3.80219308188724,3.80057931860433,9.25945679235403,58.0538374473085,1.12118622632417e-12,7.51120051304671e-10
"13050","Solyc07g063820.2.1",1.02399389997589,0.936066804867026,3.23365479341386,1.81792326423838,3.79935919075823,3.07698654655009,4.65163372000324,57.8612640050657,1.16135752914856e-12,7.51120051304671e-10
"17454","Solyc10g086580.1.1",2.82548364522809,1.15040013657753,4.22071685063103,3.13128182700964,4.47278558351899,4.35036238618793,12.6112905563676,57.7638640964567,1.1822692461912e-12,7.51120051304671e-10
"1175","Solyc01g081480.2.1",2.50079944422246,0.921035146249431,4.48747821395217,2.98538130266528,4.82002698779298,4.57634178357561,6.00141196126329,57.6932514165906,1.19768573100973e-12,7.51120051304671e-10
"11686","Solyc06g082970.2.1",2.40297234506975,0.688491033347569,3.52537857665443,2.7697186049962,3.73849979411287,3.1616774796685,6.60123094882949,57.0725862770983,1.34299576985719e-12,8.13207093748007e-10
"16324","Solyc10g007690.2.1",1.90068289622025,0.563581923815637,3.3751067364851,2.1208081766517,3.97892808050863,3.73215974447706,11.7594272085643,56.4787503735831,1.50012737005896e-12,8.70451020166581e-10
"6563","Solyc03g116870.2.1",2.94386476902683,1.50512966379263,4.19406915127994,3.39420962974522,4.11038237009331,4.18707122719521,7.15591820211067,56.2689803945924,1.56032380118199e-12,8.70451020166581e-10
"18025","Solyc11g017010.1.1",1.19068734793201,0.349284556412717,1.90506808803008,0.855243239108319,2.94834078581356,2.49724396749412,6.25459770127486,56.1813529611094,1.58624331693227e-12,8.70451020166581e-10
"4241","Solyc02g085390.2.1",-1.47795425904616,-0.807628960964593,-3.29406008413824,-1.70154024650867,-4.34353966963932,-3.91160629332857,5.13286725027352,55.8282243756838,1.69554380722345e-12,8.90078406298758e-10
"11603","Solyc06g076850.2.1",0.593479417525596,0.179974905456976,1.84828187135322,0.979606980014045,2.84480394352526,2.15676506286411,6.95166606399743,55.4888482570958,1.80834480353728e-12,8.90078406298758e-10
"11040","Solyc06g066640.2.1",2.45037371026726,0.890615376529474,3.74861516528434,2.66822510205824,4.07734167755097,4.02583313622269,8.93678931884661,55.4706248361358,1.8146285319474e-12,8.90078406298758e-10
"8579","Solyc04g081080.1.1",-1.71437286735464,-0.523685256529748,-3.12647484024916,-2.4295884075592,-4.62878259681199,-3.74366024440319,5.37993099022784,55.3352967139874,1.86204157003655e-12,8.90078406298758e-10
"8387","Solyc04g078590.2.1",-0.798585452217727,-0.318200665803674,-2.18858080361192,-1.26725673005763,-3.73490721848959,-2.74679147556647,6.16849313062662,55.2977050410918,1.87544994493474e-12,8.90078406298758e-10
"358","Solyc01g007670.2.1",2.46298213775031,0.791309218668925,4.02255792666988,2.93977244861542,4.51120532899976,4.04870402906655,5.88516745724793,54.6730336742298,2.1143424814724e-12,9.77048788806721e-10
"12898","Solyc07g056540.2.1",2.83515365642171,1.19845449100255,4.32839024042551,3.11947077650607,4.90803740883023,4.49996743659046,11.6557692209079,53.9537188425353,2.43119275607204e-12,1.09466012299039e-09
"3905","Solyc02g080810.2.1",1.83732959131825,0.501429490464451,3.14528344298581,2.19466388583933,3.44986992314424,3.38211853951633,9.76888281794008,53.3373432259859,2.74398290642131e-12,1.20460849591895e-09
"12226","Solyc07g021380.1.1",2.65599852747034,1.45042162048409,4.77909077540182,3.13437033472151,5.47413025920151,5.20118099359024,5.39072034657024,52.9761554859999,2.94742579103552e-12,1.26236089977033e-09
"624","Solyc01g017190.1.1",2.64727850919682,1.0233867182309,4.32065360100382,3.18295051951874,4.81451575671237,4.19344844066988,6.1305750608775,52.5006638271557,3.24065775183251e-12,1.31705697127686e-09
"3840","Solyc02g079950.2.1",2.28197735615243,0.84584152109088,3.62055731068299,2.52438588428365,3.88534163427018,3.72501282982974,11.6199149682658,52.2518772490386,3.40660537607728e-12,1.31705697127686e-09
"3617","Solyc02g076690.2.1",2.01710704959506,0.689014833307055,3.04869020619464,2.25990545919518,3.68843954386504,3.15897655543052,6.93084366706075,52.2089453008233,3.43616613504961e-12,1.31705697127686e-09
