,genes,bcv
4283,Solyc02g085950.2.1,0.963545809
15046,Solyc09g010630.2.1,0.107124139
5399,Solyc03g034220.2.1,0.38128487
3114,Solyc02g063150.2.1,0.9731
10075,Solyc06g005060.2.1,0.047836028
13401,Solyc08g006890.2.1,0.048886486
13199,Solyc07g065840.2.1,0.066758194
17454,Solyc10g086580.1.1,0.793174382
3509,Solyc02g071010.1.1,0.462627533
4980,Solyc03g005770.1.1,0.293973235
10900,Solyc06g063370.2.1,0.331809222
7288,Solyc04g009030.2.1,0.300079934
12488,Solyc07g044860.2.1,0.340504617
3192,Solyc02g065400.2.1,0.210985741
454,Solyc01g008960.2.1,0.141770568
15162,Solyc09g014520.2.1,0.42441106
5027,Solyc03g006490.2.1,0.123826125
4167,Solyc02g084440.2.1,0.278029328
12556,Solyc07g047850.2.1,0.285905729
3507,Solyc02g070990.1.1,0.484920034
7515,Solyc04g015750.2.1,0.14982557
16222,Solyc10g006230.2.1,0.37679268
14197,Solyc08g076220.2.1,0.618364527
14090,Solyc08g074630.1.1,0.115451586
13241,Solyc07g066310.2.1,0.297203114
2458,Solyc01g107870.2.1,0.032040109
3506,Solyc02g070970.1.1,0.549421656
8271,Solyc04g077020.2.1,0.087765958
10318,Solyc06g009970.2.1,0.084592175
4347,Solyc02g086820.2.1,1.675112335
15758,Solyc09g076050.2.1,0.073759259
654,Solyc01g028810.2.1,0.119485462
3840,Solyc02g079950.2.1,0.324209548
11483,Solyc06g074820.2.1,0.182161044
3511,Solyc02g071030.1.1,0.403813178
12015,Solyc07g007600.2.1,0.048179324
16324,Solyc10g007690.2.1,0.300393361
14547,Solyc08g081190.2.1,0.032333427
3508,Solyc02g071000.1.1,0.459226592
2157,Solyc01g103450.2.1,0.129392688
2640,Solyc01g110360.2.1,1.126809364
4582,Solyc02g090030.2.1,0.213945637
6500,Solyc03g115900.2.1,0.342801748
12898,Solyc07g056540.2.1,0.943633277
3404,Solyc02g069460.2.1,0.368132533
19222,Solyc12g011450.1.1,0.341602876
4678,Solyc02g091560.2.1,0.628252327
11684,Solyc06g082940.2.1,0.31899782
16965,Solyc10g078620.1.1,0.05611929
19859,Solyc12g088720.1.1,0.043055983
9915,Solyc05g054580.2.1,0.092207002
13810,Solyc08g062920.2.1,0.062180774
14851,Solyc09g007900.2.1,0.165625295
9113,Solyc05g010420.1.1,0.055076409
16920,Solyc10g077040.1.1,0.397442329
2245,Solyc01g104590.2.1,0.050229343
16412,Solyc10g008980.2.1,0.319657483
16051,Solyc09g092380.2.1,0.043062822
19547,Solyc12g042060.1.1,0.103901177
17577,Solyc11g006460.1.1,0.055708616
1951,Solyc01g099770.2.1,0.041317598
16522,Solyc10g018300.1.1,0.242038229
1082,Solyc01g080280.2.1,0.374289652
19708,Solyc12g056220.1.1,0.04563735
10185,Solyc06g007670.2.1,0.058680167
18661,Solyc11g069790.1.1,0.190969674
5169,Solyc03g019780.2.1,0.072200132
12463,Solyc07g043420.2.1,0.232143393
18345,Solyc11g062130.1.1,0.032040767
12643,Solyc07g052480.2.1,0.498654726
10685,Solyc06g054260.1.1,0.31317261
3060,Solyc02g062340.2.1,0.693450945
11364,Solyc06g073320.2.1,0.108627937
18717,Solyc11g071640.1.1,0.091880631
2056,Solyc01g101060.2.1,0.062494334
18605,Solyc11g069090.1.1,0.034659535
11588,Solyc06g076640.2.1,0.047932993
8259,Solyc04g076870.2.1,0.350056751
8649,Solyc04g082010.1.1,0.354997017
19108,Solyc12g009650.1.1,0.475273288
13039,Solyc07g063600.2.1,0.381413623
13521,Solyc08g013670.2.1,0.493384472
2917,Solyc02g030170.2.1,0.063556647
19321,Solyc12g015880.1.1,0.181496702
13829,Solyc08g065220.2.1,0.291552607
8131,Solyc04g074300.2.1,0.052820756
19612,Solyc12g044330.1.1,0.273742003
