,genes,bcv
4283,Solyc02g085950.2.1,0.509130216
15046,Solyc09g010630.2.1,0.083759533
5399,Solyc03g034220.2.1,0.194605549
3114,Solyc02g063150.2.1,0.335226923
10075,Solyc06g005060.2.1,0.044181887
13401,Solyc08g006890.2.1,0.037591787
13199,Solyc07g065840.2.1,0.078551669
17454,Solyc10g086580.1.1,0.35468095
3509,Solyc02g071010.1.1,0.298386668
4980,Solyc03g005770.1.1,0.162354043
10900,Solyc06g063370.2.1,0.135138585
7288,Solyc04g009030.2.1,0.138550361
12488,Solyc07g044860.2.1,0.119464882
3192,Solyc02g065400.2.1,0.098539944
454,Solyc01g008960.2.1,0.092455102
15162,Solyc09g014520.2.1,0.141413337
5027,Solyc03g006490.2.1,0.192863504
4167,Solyc02g084440.2.1,0.147240074
12556,Solyc07g047850.2.1,0.120958053
3507,Solyc02g070990.1.1,0.310664247
7515,Solyc04g015750.2.1,0.108153356
16222,Solyc10g006230.2.1,0.184928727
14197,Solyc08g076220.2.1,0.369951747
14090,Solyc08g074630.1.1,0.083292238
13241,Solyc07g066310.2.1,0.093303882
2458,Solyc01g107870.2.1,0.026119376
3506,Solyc02g070970.1.1,0.337024302
8271,Solyc04g077020.2.1,0.062900077
10318,Solyc06g009970.2.1,0.061534209
4347,Solyc02g086820.2.1,1.116023965
15758,Solyc09g076050.2.1,0.097094256
654,Solyc01g028810.2.1,0.07049408
3840,Solyc02g079950.2.1,0.126928261
11483,Solyc06g074820.2.1,0.182979232
3511,Solyc02g071030.1.1,0.208961431
12015,Solyc07g007600.2.1,0.049189703
16324,Solyc10g007690.2.1,0.170129578
14547,Solyc08g081190.2.1,0.030295801
3508,Solyc02g071000.1.1,0.433577167
2157,Solyc01g103450.2.1,0.064347922
2640,Solyc01g110360.2.1,0.424213566
4582,Solyc02g090030.2.1,0.091603348
6500,Solyc03g115900.2.1,0.135911534
12898,Solyc07g056540.2.1,0.513224165
3404,Solyc02g069460.2.1,0.180208267
19222,Solyc12g011450.1.1,0.19979819
4678,Solyc02g091560.2.1,0.245508309
11684,Solyc06g082940.2.1,0.198640815
16965,Solyc10g078620.1.1,0.053658785
19859,Solyc12g088720.1.1,0.023420187
9915,Solyc05g054580.2.1,0.092065705
13810,Solyc08g062920.2.1,0.040274945
14851,Solyc09g007900.2.1,0.155956558
9113,Solyc05g010420.1.1,0.076276668
16920,Solyc10g077040.1.1,0.15285804
2245,Solyc01g104590.2.1,0.031333322
16412,Solyc10g008980.2.1,0.153945459
16051,Solyc09g092380.2.1,0.03181801
19547,Solyc12g042060.1.1,0.057255752
17577,Solyc11g006460.1.1,0.056557296
1951,Solyc01g099770.2.1,0.044027845
16522,Solyc10g018300.1.1,0.136347523
1082,Solyc01g080280.2.1,0.204494965
19708,Solyc12g056220.1.1,0.044255289
10185,Solyc06g007670.2.1,0.068660223
18661,Solyc11g069790.1.1,0.121397034
5169,Solyc03g019780.2.1,0.069605386
12463,Solyc07g043420.2.1,0.105677635
18345,Solyc11g062130.1.1,0.020978473
12643,Solyc07g052480.2.1,0.283607708
10685,Solyc06g054260.1.1,0.136798647
3060,Solyc02g062340.2.1,0.260485984
11364,Solyc06g073320.2.1,0.07399046
18717,Solyc11g071640.1.1,0.040696116
2056,Solyc01g101060.2.1,0.064073135
18605,Solyc11g069090.1.1,0.05482999
11588,Solyc06g076640.2.1,0.064453975
8259,Solyc04g076870.2.1,0.178180326
8649,Solyc04g082010.1.1,0.126213889
19108,Solyc12g009650.1.1,0.77642814
13039,Solyc07g063600.2.1,0.330168032
13521,Solyc08g013670.2.1,0.213492591
2917,Solyc02g030170.2.1,0.05358692
19321,Solyc12g015880.1.1,0.18601642
13829,Solyc08g065220.2.1,0.139669209
8131,Solyc04g074300.2.1,0.065743046
19612,Solyc12g044330.1.1,0.305070254
13073,Solyc07g064130.1.1,0.214078086
12690,Solyc07g053280.2.1,0.045065935
14800,Solyc09g007250.2.1,0.026197251
20141,Solyc12g099930.1.1,0.567127313
3462,Solyc02g070310.2.1,0.038275136
9959,Solyc05g055160.2.1,0.086035298
6505,Solyc03g115980.1.1,0.082757859
19920,Solyc12g094640.1.1,0.72833446
16769,Solyc10g054440.1.1,0.102936668
17773,Solyc11g009080.1.1,0.060138588
17180,Solyc10g081510.1.1,0.124091728
17498,Solyc11g005330.1.1,0.025720477
13809,Solyc08g062910.2.1,0.039135544
2697,Solyc01g111170.2.1,0.118377323
6061,Solyc03g097900.2.1,0.030869274
11210,Solyc06g071100.2.1,0.037551332
11685,Solyc06g082950.2.1,0.208362804
5677,Solyc03g078400.2.1,0.038307869
