"","genes","pen$tagwise.dispersion"
"4283","Solyc02g085950.2.1",0.940269867039716
"15046","Solyc09g010630.2.1",0.103217675928734
"5399","Solyc03g034220.2.1",0.654238991939288
"3114","Solyc02g063150.2.1",0.783462475646338
"10075","Solyc06g005060.2.1",0.166816175947321
"13401","Solyc08g006890.2.1",0.0995989757438493
"13199","Solyc07g065840.2.1",0.0855125335522269
"17454","Solyc10g086580.1.1",0.761979242930168
"3509","Solyc02g071010.1.1",0.72285224085808
"4980","Solyc03g005770.1.1",0.616245954393844
"10900","Solyc06g063370.2.1",0.674374130402982
"7288","Solyc04g009030.2.1",0.570392129845738
"12488","Solyc07g044860.2.1",0.495946267760508
"3192","Solyc02g065400.2.1",0.566687780562927
"454","Solyc01g008960.2.1",0.238028392016166
"15162","Solyc09g014520.2.1",0.603841299689943
"5027","Solyc03g006490.2.1",0.409936105767894
"4167","Solyc02g084440.2.1",0.752436325418146
"12556","Solyc07g047850.2.1",0.559746610823613
"3507","Solyc02g070990.1.1",0.778180221058868
"7515","Solyc04g015750.2.1",0.393461374469771
"16222","Solyc10g006230.2.1",0.586354332763737
"14197","Solyc08g076220.2.1",0.606807723121904
"14090","Solyc08g074630.1.1",0.553902501516917
"13241","Solyc07g066310.2.1",0.685243006467051
"2458","Solyc01g107870.2.1",0.0638983984940717
"3506","Solyc02g070970.1.1",0.749513054126616
"8271","Solyc04g077020.2.1",0.106555080826381
"10318","Solyc06g009970.2.1",0.166554873233742
"4347","Solyc02g086820.2.1",0.98661253052078
"15758","Solyc09g076050.2.1",0.143441608425562
"654","Solyc01g028810.2.1",0.264260901715345
"3840","Solyc02g079950.2.1",0.64705836915166
"11483","Solyc06g074820.2.1",0.241467395468359
"3511","Solyc02g071030.1.1",0.718257697065804
"12015","Solyc07g007600.2.1",0.111402163328111
"16324","Solyc10g007690.2.1",0.718206373440221
"14547","Solyc08g081190.2.1",0.236610513598353
"3508","Solyc02g071000.1.1",0.879898640772202
"2157","Solyc01g103450.2.1",0.13310504623243
"2640","Solyc01g110360.2.1",0.9756974977691
"4582","Solyc02g090030.2.1",0.529353574178836
"6500","Solyc03g115900.2.1",0.625038958498731
"12898","Solyc07g056540.2.1",0.85928175667221
"3404","Solyc02g069460.2.1",0.572135064866949
"19222","Solyc12g011450.1.1",0.629350435360164
"4678","Solyc02g091560.2.1",0.773076446256814
"11684","Solyc06g082940.2.1",0.605657624534343
"16965","Solyc10g078620.1.1",0.111640142935544
"19859","Solyc12g088720.1.1",0.153517795830012
"9915","Solyc05g054580.2.1",0.197748296588906
"13810","Solyc08g062920.2.1",0.110268352469481
"14851","Solyc09g007900.2.1",0.119035933563786
"9113","Solyc05g010420.1.1",0.0934531547096085
"16920","Solyc10g077040.1.1",0.502520099952989
"2245","Solyc01g104590.2.1",0.147363205708473
"16412","Solyc10g008980.2.1",0.584643325477122
"16051","Solyc09g092380.2.1",0.0957563599627786
"19547","Solyc12g042060.1.1",0.146560161923212
