"","genes","sd","mean","cof","P3_m_1","P3_m_2","P3_m_3","P4_d_1","P4_d_2,","P4_d_3","P4_p_1","P4_p_2","P4_p_3","P5_d_1","P5_d_2","P5_d_3","P5_p_1","P5_p_2","P5_p_3","P6_d_1","P6_d_2","P6_d_3","P6_p_1","P6_p_2","P6_p_3"
"25853","pen_Solyc09g084440.2.1",11.0607921384633,4.01988915426051,2.75151669959368,4.48464672709711,0.778444294581383,2.58373843337149,0,0,0,1.18823315977047,0.823630368253183,1.31073555816976,3.39808172354161,4.04358498726234,0,51.8849803823195,4.03281248105181,2.13218820370543,1.17601719169126,2.86914065554161,1.18021047379909,1.25719605717608,1.27403154213857,0
"18893","pen_Solyc03g098780.1.1",31.7634762463514,11.8988805001738,2.66945081479619,14.2013813024742,0.778444294581383,0.645934608342873,1.68867111661118,0,0,0.594116579885236,2.47089110475955,1.31073555816976,9.06155126277762,1.34786166242078,0,146.306296033027,18.1476561647331,2.84291760494057,0,8.60742196662482,2.36042094759819,31.4299014294019,6.37015771069286,1.71213115660864
"22166","pen_Solyc06g059930.2.1",10.9908251331559,4.23175754438875,2.59722467978572,2.98976448473141,0.778444294581383,0,0.844335558305588,0,1.44785221467506,0.594116579885236,0,1.31073555816976,5.66346953923601,2.69572332484156,1.10637518761338,51.4175481266229,4.03281248105181,2.13218820370543,0,6.69466152959708,0,5.0287842287043,1.27403154213857,0.85606557830432
"17470","pen_Solyc02g082930.2.1",12.0548373252431,4.65599437189489,2.58910049333609,12.7064990601085,0,0,0,0,0,0,0,1.96610333725465,0,1.34786166242078,0,54.6895739164989,5.04101560131476,2.13218820370543,0,11.4765626221664,0,6.28598028588038,1.27403154213857,0.85606557830432
"15509","pen_Solyc01g088300.2.1",16.5229966142792,6.48588889824704,2.54753001068904,14.948822423657,0,0,0.844335558305588,0,1.44785221467506,0.594116579885236,0,0,4.53077563138881,4.04358498726234,0,74.7891609114515,20.164062405259,5.68583520988114,0,2.86914065554161,0,6.28598028588038,0,0
"22966","pen_Solyc07g005100.2.1",49.1716196181278,19.4444465611318,2.52882587650598,55.3106429675311,1.55688858916277,1.93780382502862,1.68867111661118,1.08321362685276,0.723926107337529,2.37646631954094,4.9417822095191,6.55367779084882,16.990408617708,2.69572332484156,2.21275037522675,225.302347245748,34.2789060889403,9.23948221605685,0,26.7786461183883,1.18021047379909,10.0575684574086,0,3.42426231321728
"34248","hab_Solyc04g011330.1.1",13.8707259358621,5.55566957694906,2.49667942697905,2.18554694828008,1.93827401042741,3.06676148988122,0.692153836048371,0.786169917487034,2.89370926973977,1.90647062777044,2.45277224331482,3.37472420073294,2.42581763921307,0.820704323755082,1.41454410289638,3.12608846177158,3.52180373715796,1.26928495514804,13.2012675655371,65.023204576506,2.43182512856501,0.566470356497994,2.24297465790734,1.3284930672927
"29000","pen_Solyc06g005310.2.1",18.2508268385751,7.49450575237257,2.43522754423097,0,0,0,0,1.08321362685276,0.723926107337529,0,0,0,2.26538781569441,6.7393083121039,1.10637518761338,0.467432255696572,0,0.710729401235143,18.8162750670601,81.2923185736788,21.2437885283837,1.25719605717608,19.1104731320786,2.56819673491296
"13526","lyc_Solyc11g069890.1.1",27.8730728348165,11.5668611999297,2.409735221426,64.9576209174488,75.2268265670701,91.8881741320079,0.678490302571568,4.44576911032161,0,1.44261916690689,0.631612971241583,0,0.589240728862384,0,0,0.465857815295882,0,0,0,0,1.31340184483983,0.592652533514797,0.671819108443243,0
"21942","pen_Solyc06g035940.2.1",11.9103887085301,5.15919875970485,2.30857333924687,2.24232336354856,0,1.29186921668575,0.844335558305588,0,0,0,0,3.27683889542441,0,0,1.10637518761338,41.1340385012983,2.0164062405259,1.42145880247029,1.17601719169126,40.1679691775825,3.54063142139728,5.0287842287043,5.09612616855429,0
